Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 09/21  15:00:00,1208.79383732,120.021862511,313.282967753,0.0,243.2593065,302.612436532,264.03677722,171.895260401,56.6466996096,35.4948172096
 09/21  16:00:00,1223.78696442,121.568634734,319.099448894,0.0,243.2593065,310.10971186,275.254807575,163.778780957,84.9700494144,26.5059772036
 09/21  17:00:00,1220.27323068,122.269472446,315.211215163,0.0,243.2593065,310.10971186,260.043196721,157.575706441,84.9700494144,17.4974408657
 09/21  18:00:00,965.31711812,98.107680265,340.689472435,0.0,166.938926447,199.110933808,298.605158925,196.192403015,84.9700494144,17.442706495
 09/21  19:00:00,984.262695927,98.107680265,355.12330882,0.0,166.938926447,191.61365848,288.092106805,214.005724591,56.6466996096,17.4396826045
 09/21  20:00:00,851.878417409,98.107680265,361.862732706,0.0,100.150657288,124.558693486,329.28003087,255.189228246,56.6466996096,17.4441030137
 09/21  21:00:00,821.98462702,98.107680265,372.096635752,0.0,100.150657288,124.558693486,318.246359459,267.051137216,42.4850247072,8.71019753543
 09/21  22:00:00,768.853253897,98.107680265,388.674589035,0.0,46.0930336215,124.558693486,335.232928105,289.513657615,28.3233498048,17.3959206857
 09/21  23:00:00,782.884605856,98.107680265,402.410017529,0.0,46.0930336215,124.558693486,324.445776454,301.575897172,14.1616749024,8.70820437925
 09/21  24:00:00,783.749602727,98.107680265,416.275977131,0.0,46.0930336215,113.312780494,332.572872886,309.511107943,5.66466996096,17.3970949823
 09/22  01:00:00,785.01076454,98.107680265,417.487524992,0.0,46.0930336215,113.312780494,337.166282069,314.105428258,5.66466996096,17.3961838493
 09/22  02:00:00,787.265482555,98.107680265,419.992524854,0.0,46.0930336215,113.312780494,333.636416849,319.263340936,5.66466996096,8.70840595205
 09/22  03:00:00,784.110718034,98.107680265,416.825182234,0.0,46.0930336215,113.312780494,346.58335815,323.522529274,5.66466996096,17.3961589149
 09/22  04:00:00,878.319026185,98.107680265,417.903167135,0.0,100.150657288,148.969399434,321.162189119,306.788499995,5.66466996096,8.70901916324
 09/22  05:00:00,882.675143621,99.7878426107,421.34653281,0.0,100.150657288,149.894399434,440.884873575,409.325108538,14.1616749024,17.3980901348
 09/22  06:00:00,1105.50761646,103.315557221,417.824024116,0.0,176.471037341,302.612436532,334.52055186,297.490922326,28.3233498048,8.70627972975
 09/22  07:00:00,1219.59528781,107.234805869,416.71881765,0.0,243.2593065,310.10971186,336.951617132,268.15105691,42.4850247072,26.3155355142
 09/22  08:00:00,1253.20374342,109.144086365,404.974987649,0.0,243.2593065,310.10971186,328.929731101,245.839677454,56.6466996096,26.4433540376
 09/22  09:00:00,1278.3919056,110.883743201,394.42435134,0.0,243.2593065,302.612436532,298.197467767,220.340399677,42.4850247072,35.3720433828
 09/22  10:00:00,1266.50081114,112.393423481,372.040641666,0.0,243.2593065,310.10971186,310.298912409,203.928416028,70.808374512,35.562121869
 09/22  11:00:00,1262.86501084,113.882906773,365.597634097,0.0,243.2593065,310.10971186,303.699090566,197.255228861,70.808374512,35.6354871928
 09/22  12:00:00,1209.03400952,115.849661562,351.152571218,0.0,243.2593065,310.10971186,295.590667686,189.322310267,70.808374512,35.4599829067
 09/22  13:00:00,1232.20224025,117.299175531,338.707048819,0.0,243.2593065,302.612436532,274.207021655,181.917724025,56.6466996096,35.6425980199
 09/22  14:00:00,1228.56865451,118.216475525,333.808920496,0.0,243.2593065,302.612436532,265.487927129,181.581553077,42.4850247072,41.4213493443
 09/22  15:00:00,1225.61211999,118.881287755,330.03303152,0.0,243.2593065,302.612436532,271.923423542,185.587199759,56.6466996096,29.6895241738
 09/22  16:00:00,1233.29988809,119.329323753,330.624183729,0.0,243.2593065,310.10971186,313.4297967,193.126073267,84.9700494144,35.3336740184
 09/22  17:00:00,1253.41324891,119.467350323,351.939133076,0.0,243.2593065,310.10971186,307.567824995,205.097733266,84.9700494144,17.5000423143
 09/22  18:00:00,1008.4618292,98.107680265,391.705012256,0.0,166.938926447,199.110933808,331.167725411,228.755072528,84.9700494144,17.4426034692
 09/22  19:00:00,1021.58039316,98.107680265,401.126964811,0.0,166.938926447,191.61365848,311.898393156,237.807139082,56.6466996096,17.4445544641
 09/22  20:00:00,904.387331842,98.107680265,419.096540362,0.0,100.150657288,124.558693486,354.286976378,280.197684725,56.6466996096,17.4425920439
 09/22  21:00:00,864.050123098,98.107680265,419.780688808,0.0,100.150657288,124.558693486,346.723938635,295.526670791,42.4850247072,8.71224313712
